,countyFIPS,CountyName,State,Deaths,Population,DeathsPerMillion
842,19073,Greene County,IA,0,8888,0
843,19075,Grundy County,IA,0,12232,0
844,19077,Guthrie County,IA,4,10689,374
845,19079,Hamilton County,IA,0,14773,0
846,19081,Hancock County,IA,0,10630,0
847,19083,Hardin County,IA,0,16846,0
848,19085,Harrison County,IA,0,14049,0
849,19087,Henry County,IA,3,19954,150
850,19089,Howard County,IA,0,9158,0
851,19091,Humboldt County,IA,1,9558,104
852,19093,Ida County,IA,0,6860,0
853,19095,Iowa County,IA,0,16184,0
854,19097,Jackson County,IA,0,19439,0
855,19099,Jasper County,IA,17,37185,457
856,19101,Jefferson County,IA,0,18295,0
857,19103,Johnson County,IA,8,151140,52
858,19105,Jones County,IA,0,20681,0
859,19107,Keokuk County,IA,1,10246,97
860,19109,Kossuth County,IA,0,14813,0
861,19111,Lee County,IA,1,33657,29
862,19113,Linn County,IA,80,226706,352
863,19115,Louisa County,IA,13,11035,1178
864,19117,Lucas County,IA,3,8600,348
865,19119,Lyon County,IA,0,11755,0
866,19121,Madison County,IA,2,16338,122
867,19123,Mahaska County,IA,15,22095,678
868,19125,Marion County,IA,0,33253,0
869,19127,Marshall County,IA,18,39369,457
870,19129,Mills County,IA,0,15109,0
871,19131,Mitchell County,IA,0,10586,0
872,19133,Monona County,IA,0,8615,0
873,19135,Monroe County,IA,6,7707,778
874,19137,Montgomery County,IA,2,9917,201
875,19139,Muscatine County,IA,43,42664,1007
876,19141,O'Brien County,IA,1,13753,72
877,19143,Osceola County,IA,0,5958,0
878,19145,Page County,IA,0,15107,0
879,19147,Palo Alto County,IA,0,8886,0
880,19149,Plymouth County,IA,4,25177,158
881,19151,Pocahontas County,IA,0,6619,0
882,19153,Polk County,IA,165,490161,336
883,19155,Pottawattamie County,IA,11,93206,118
884,19157,Poweshiek County,IA,8,18504,432
885,19159,Ringgold County,IA,0,4894,0
886,19161,Sac County,IA,0,9721,0
887,19163,Scott County,IA,10,172943,57
888,19165,Shelby County,IA,0,11454,0
889,19167,Sioux County,IA,0,34855,0
890,19169,Story County,IA,3,97117,30
891,19171,Tama County,IA,29,16854,1720
892,19173,Taylor County,IA,0,6121,0
893,19175,Union County,IA,0,12241,0
894,19177,Van Buren County,IA,0,7044,0
895,19179,Wapello County,IA,27,34969,772
896,19181,Warren County,IA,2,51466,38
897,19183,Washington County,IA,9,21965,409
898,19185,Wayne County,IA,0,6441,0
899,19187,Webster County,IA,1,35904,27
900,19189,Winnebago County,IA,0,10354,0
901,19191,Winneshiek County,IA,0,19991,0
902,19193,Woodbury County,IA,42,103107,407
903,19195,Worth County,IA,0,7381,0
904,19197,Wright County,IA,0,12562,0
906,20001,Allen County,KS,0,12369,0
907,20003,Anderson County,KS,0,7858,0
908,20005,Atchison County,KS,0,16073,0
909,20007,Barber County,KS,0,4427,0
910,20009,Barton County,KS,2,25779,77
911,20011,Bourbon County,KS,1,14534,68
912,20013,Brown County,KS,0,9564,0
913,20015,Butler County,KS,0,66911,0
914,20017,Chase County,KS,0,2648,0
915,20019,Chautauqua County,KS,0,3250,0
916,20021,Cherokee County,KS,0,19939,0
917,20023,Cheyenne County,KS,0,2657,0
918,20025,Clark County,KS,0,1994,0
919,20027,Clay County,KS,1,8002,124
920,20029,Cloud County,KS,0,8786,0
921,20031,Coffey County,KS,8,8179,978
922,20033,Comanche County,KS,0,1700,0
923,20035,Cowley County,KS,1,34908,28
